label,bit,carton_pk,SDSSC2VB,program,version,v1,name,mapper,alt_program,alt_name
mwm_yso_pms_apogee_sagitta_edr3_1.0.20,316,1412,1,mwm_yso,1.0.20,10.2,mwm_yso_pms_apogee_sagitta_edr3,mwm,yso,mwm_yso_pms
mwm_snc_100pc_boss_1.0.24,317,1427,1,mwm_snc,1.0.24,10.24,mwm_snc_100pc_boss,mwm,snc,mwm_snc
mwm_snc_100pc_boss_1.0.28,318,1448,1,mwm_snc,1.0.28,10.28,mwm_snc_100pc_boss,mwm,snc,mwm_snc
mwm_yso_disk_apogee_single_1.0.33,319,1462,1,mwm_yso,1.0.33,10.33,mwm_yso_disk_apogee_single,mwm,yso,mwm_yso_disk
mwm_yso_disk_boss_single_1.0.33,320,1463,1,mwm_yso,1.0.33,10.33,mwm_yso_disk_boss_single,mwm,yso,mwm_yso_disk
mwm_yso_embedded_apogee_single_1.0.33,321,1464,1,mwm_yso,1.0.33,10.33,mwm_yso_embedded_apogee_single,mwm,yso,mwm_yso_embedded
mwm_yso_nebula_apogee_single_1.0.33,322,1465,1,mwm_yso,1.0.33,10.33,mwm_yso_nebula_apogee_single,mwm,yso,mwm_yso_nebula
mwm_yso_variable_apogee_single_1.0.33,323,1466,1,mwm_yso,1.0.33,10.33,mwm_yso_variable_apogee_single,mwm,yso,mwm_yso_variable
mwm_yso_variable_boss_single_1.0.33,324,1467,1,mwm_yso,1.0.33,10.33,mwm_yso_variable_boss_single,mwm,yso,mwm_yso_variable
mwm_yso_cmz_apogee_single_1.0.33,325,1468,1,mwm_yso,1.0.33,10.33,mwm_yso_cmz_apogee_single,mwm,yso,mwm_yso_cmz
mwm_yso_cluster_apogee_single_1.0.33,326,1469,1,mwm_yso,1.0.33,10.33,mwm_yso_cluster_apogee_single,mwm,yso,mwm_yso_cluster
mwm_yso_cluster_boss_single_1.0.33,327,1470,1,mwm_yso,1.0.33,10.33,mwm_yso_cluster_boss_single,mwm,yso,mwm_yso_cluster
mwm_yso_pms_apogee_sagitta_edr3_single_1.0.33,328,1471,1,mwm_yso,1.0.33,10.33,mwm_yso_pms_apogee_sagitta_edr3_single,mwm,yso,mwm_yso_pms
mwm_yso_pms_apogee_zari18pms_single_1.0.33,329,1472,1,mwm_yso,1.0.33,10.33,mwm_yso_pms_apogee_zari18pms_single,mwm,yso,mwm_yso_pms
mwm_yso_pms_boss_sagitta_edr3_single_1.0.33,330,1473,1,mwm_yso,1.0.33,10.33,mwm_yso_pms_boss_sagitta_edr3_single,mwm,yso,mwm_yso_pms
mwm_yso_pms_boss_zari18pms_single_1.0.33,331,1474,1,mwm_yso,1.0.33,10.33,mwm_yso_pms_boss_zari18pms_single,mwm,yso,mwm_yso_pms
ops_std_boss_ps1dr2_1.0.29,332,1475,1,ops_std,1.0.29,10.29,ops_std_boss_ps1dr2,ops,std,ops_std
bhm_csc_boss_1.0.37,333,1498,1,bhm_csc,1.0.37,10.37,bhm_csc_boss,bhm,csc,bhm_csc
bhm_csc_apogee_1.0.37,334,1499,1,bhm_csc,1.0.37,10.37,bhm_csc_apogee,bhm,csc,bhm_csc
bhm_gua_dark_1.0.37,335,1500,1,bhm_filler,1.0.37,10.37,bhm_gua_dark,bhm,filler,bhm_filler
bhm_gua_bright_1.0.37,336,1501,1,bhm_filler,1.0.37,10.37,bhm_gua_bright,bhm,filler,bhm_filler
bhm_spiders_clusters_lsdr10_1.0.37,337,1502,1,bhm_spiders,1.0.37,10.37,bhm_spiders_clusters_lsdr10,bhm,spiders,bhm_spiders
bhm_spiders_agn_lsdr10_1.0.37,338,1503,1,bhm_spiders,1.0.37,10.37,bhm_spiders_agn_lsdr10,bhm,spiders,bhm_spiders
bhm_spiders_agn_hard_1.0.37,339,1504,1,bhm_spiders,1.0.37,10.37,bhm_spiders_agn_hard,bhm,spiders,bhm_spiders
