label,bit,carton_pk,SDSSC2BV,program,version,v1,name,mapper,alt_program,alt_name
mwm_yso_cluster_apogee_1.0.6,254,1267,4,mwm_yso,1.0.6,10.06,mwm_yso_cluster_apogee,mwm,yso,mwm_yso_cluster
mwm_yso_cluster_boss_1.0.6,255,1268,4,mwm_yso,1.0.6,10.06,mwm_yso_cluster_boss,mwm,yso,mwm_yso_cluster
mwm_yso_disk_apogee_1.0.6,256,1271,4,mwm_yso,1.0.6,10.06,mwm_yso_disk_apogee,mwm,yso,mwm_yso_disk
mwm_yso_disk_boss_1.0.6,257,1272,4,mwm_yso,1.0.6,10.06,mwm_yso_disk_boss,mwm,yso,mwm_yso_disk
mwm_yso_cmz_apogee_1.0.6,258,1273,4,mwm_yso,1.0.6,10.06,mwm_yso_cmz_apogee,mwm,yso,mwm_yso_cmz
mwm_yso_variable_apogee_1.0.6,259,1274,4,mwm_yso,1.0.6,10.06,mwm_yso_variable_apogee,mwm,yso,mwm_yso_variable
mwm_yso_variable_boss_1.0.6,260,1275,4,mwm_yso,1.0.6,10.06,mwm_yso_variable_boss,mwm,yso,mwm_yso_variable
mwm_yso_embedded_apogee_1.0.6,261,1276,4,mwm_yso,1.0.6,10.06,mwm_yso_embedded_apogee,mwm,yso,mwm_yso_embedded
mwm_yso_pms_apogee_zari18pms_1.0.6,262,1278,4,mwm_yso,1.0.6,10.06,mwm_yso_pms_apogee_zari18pms,mwm,yso,mwm_yso_pms
mwm_yso_pms_boss_sagitta_edr3_1.0.6,263,1279,4,mwm_yso,1.0.6,10.06,mwm_yso_pms_boss_sagitta_edr3,mwm,yso,mwm_yso_pms
mwm_yso_pms_boss_zari18pms_1.0.6,264,1280,4,mwm_yso,1.0.6,10.06,mwm_yso_pms_boss_zari18pms,mwm,yso,mwm_yso_pms
openfibertargets_nov2020_11_1.0.7,265,1289,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_11,open,open_fiber,bhm_openfiber
openfibertargets_nov2020_18_1.0.7,266,1290,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_18,open,open_fiber,bhm_openfiber
openfibertargets_nov2020_26_1.0.7,267,1291,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_26,open,open_fiber,bhm_openfiber
openfibertargets_nov2020_27_1.0.7,268,1292,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_27,open,open_fiber,bhm_openfiber
openfibertargets_nov2020_30_1.0.7,269,1293,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_30,open,open_fiber,bhm_openfiber
mwm_yso_nebula_apogee_1.0.8,270,1308,4,mwm_yso,1.0.8,10.08,mwm_yso_nebula_apogee,mwm,yso,mwm_yso_nebula
manual_mwm_halo_distant_kgiant_1.0.7,271,1317,4,mwm_halo,1.0.7,10.07,manual_mwm_halo_distant_kgiant,mwm,halo,manual_mwm_halo_distant_kgiant
manual_mwm_halo_mp_bbb_1.0.7,272,1318,4,mwm_halo,1.0.7,10.07,manual_mwm_halo_mp_bbb,mwm,halo,manual_mwm_halo_mp_wise
openfibertargets_nov2020_10_1.0.7,273,1320,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_10,open,open_fiber,mwm_bin_openfiber
openfibertargets_nov2020_1000_1.0.7,274,1321,4,open_fiber,1.0.7,10.07,openfibertargets_nov2020_1000,open,open_fiber,mwm_cluster_openfiber
